"","size","means","medians","ordering"
"1455","N=50",12.1,9,50
"1456","N=50",9.02,9,50
"1457","N=50",8.4,7,50
"1458","N=50",10.86,8,50
"1459","N=50",12.16,8.5,50
"1460","N=50",9.98,7,50
"1461","N=50",9.86,7,50
"1462","N=50",8.54,7,50
"1463","N=50",11.28,6,50
"1464","N=50",10.04,7,50
"1465","N=50",11.08,5,50
"1466","N=50",10.44,6.5,50
"1467","N=50",10.34,8,50
"1468","N=50",10.02,8,50
"1469","N=50",12.02,6.5,50
"1470","N=50",10.2,8,50
"1471","N=50",10.84,5,50
"1472","N=50",10.92,7,50
"1473","N=50",10.46,6,50
"1474","N=50",12.1,7,50
"1475","N=50",10.9,7.5,50
"1476","N=50",9.74,7,50
"1477","N=50",10.9,7.5,50
"1478","N=50",10.22,6,50
"1479","N=50",10.76,6,50
"1480","N=50",10,8.5,50
"1481","N=50",10.9,5.5,50
"1482","N=50",8.84,7,50
"1483","N=50",11.84,7,50
"1484","N=50",9.22,8,50
"1485","N=50",11.24,9,50
"1486","N=50",10.38,6,50
"1487","N=50",7.74,6.5,50
"1488","N=50",10.26,7,50
"1489","N=50",10.26,7.5,50
"1490","N=50",13.56,8,50
"1491","N=50",9.38,5,50
"1492","N=50",10.52,7.5,50
"1493","N=50",9.78,9,50
"1494","N=50",10.24,8,50
"1495","N=50",11.48,6.5,50
"1496","N=50",8.94,6,50
"1497","N=50",10.48,7.5,50
"1498","N=50",8.6,7,50
"1499","N=50",11.54,7,50
"1500","N=50",11.1,8.5,50
"1501","N=50",8.7,9,50
"1502","N=50",11,7.5,50
"1503","N=50",11.16,6.5,50
"1504","N=50",8.96,7.5,50
"1505","N=50",11.76,7,50
"1506","N=50",11.2,7.5,50
"1507","N=50",9.38,6.5,50
"1508","N=50",10.4,8,50
"1509","N=50",10.16,9,50
"1510","N=50",10.8,6.5,50
"1511","N=50",9.18,7,50
"1512","N=50",11.22,8,50
"1513","N=50",9.28,7,50
"1514","N=50",12.48,8,50
"1515","N=50",8.36,7,50
"1516","N=50",8.58,7,50
"1517","N=50",12.02,7.5,50
"1518","N=50",9.44,7,50
"1519","N=50",11.72,8,50
"1520","N=50",9.86,6,50
"1521","N=50",8.44,9,50
"1522","N=50",8.32,8.5,50
"1523","N=50",10.68,7.5,50
"1524","N=50",10.54,8,50
"1525","N=50",8.94,8,50
"1526","N=50",10,6,50
"1527","N=50",10.74,8,50
"1528","N=50",11.88,8.5,50
"1529","N=50",8.14,7,50
"1530","N=50",8.68,8.5,50
"1531","N=50",9.18,7.5,50
"1532","N=50",9.16,10,50
"1533","N=50",12.5,8,50
"1534","N=50",10.86,9,50
"1535","N=50",9.58,7.5,50
"1536","N=50",12.1,8,50
"1537","N=50",10.36,7,50
"1538","N=50",10.8,7,50
"1539","N=50",8.5,9,50
"1540","N=50",8.72,5.5,50
"1541","N=50",11.38,7,50
"1542","N=50",10.98,7.5,50
"1543","N=50",8.7,5,50
"1544","N=50",8.18,7,50
"1545","N=50",8.36,8,50
"1546","N=50",9.94,7,50
"1547","N=50",11.26,6.5,50
"1548","N=50",8.04,8.5,50
"1549","N=50",10.58,7.5,50
"1550","N=50",10.52,7,50
"1551","N=50",10.82,6.5,50
"1552","N=50",9.96,5,50
"1553","N=50",9.98,8,50
"1554","N=50",12.38,12,50
"1555","N=50",10.76,8,50
"1556","N=50",8.94,10,50
"1557","N=50",12.02,8,50
"1558","N=50",11,7.5,50
"1559","N=50",9.72,7.5,50
"1560","N=50",9.56,8.5,50
"1561","N=50",11,5,50
"1562","N=50",11.5,6,50
"1563","N=50",8.12,6.5,50
"1564","N=50",10.62,8.5,50
"1565","N=50",8.36,8,50
"1566","N=50",10.14,6,50
"1567","N=50",10.28,9.5,50
"1568","N=50",9,8,50
"1569","N=50",10.32,6,50
"1570","N=50",11.46,8,50
"1571","N=50",11.46,5.5,50
"1572","N=50",11.88,7.5,50
"1573","N=50",9.36,7,50
"1574","N=50",8.98,6,50
"1575","N=50",8.98,9.5,50
"1576","N=50",9.18,7,50
"1577","N=50",10.46,5,50
"1578","N=50",10.3,5,50
"1579","N=50",9.08,8,50
"1580","N=50",8.9,7,50
"1581","N=50",11.22,8,50
"1582","N=50",10.02,5,50
"1583","N=50",11.16,6,50
"1584","N=50",8.26,7,50
"1585","N=50",8.6,7.5,50
"1586","N=50",9.34,8.5,50
"1587","N=50",9.38,8,50
"1588","N=50",9.84,8,50
"1589","N=50",8.96,8,50
"1590","N=50",9.9,8,50
"1591","N=50",9.4,7.5,50
"1592","N=50",10.84,6.5,50
"1593","N=50",9.3,5,50
"1594","N=50",11.84,6,50
"1595","N=50",9.32,10,50
"1596","N=50",8.56,8,50
"1597","N=50",10.56,6.5,50
"1598","N=50",9.04,9,50
"1599","N=50",10.94,7.5,50
"1600","N=50",11.88,7,50
"1601","N=50",10,5,50
"1602","N=50",10.28,8,50
"1603","N=50",11.7,7.5,50
"1604","N=50",11.62,8,50
"1605","N=50",9.76,8,50
"1606","N=50",10.22,7,50
"1607","N=50",8.22,7,50
"1608","N=50",9.6,8,50
"1609","N=50",10.36,6.5,50
"1610","N=50",11.96,8.5,50
"1611","N=50",12.04,6,50
"1612","N=50",10.72,7.5,50
"1613","N=50",10.54,7.5,50
"1614","N=50",9.08,7,50
"1615","N=50",10.44,6,50
"1616","N=50",8.94,8,50
"1617","N=50",9.74,6,50
"1618","N=50",11.98,9,50
"1619","N=50",8.64,9,50
"1620","N=50",11.68,8,50
"1621","N=50",9.82,6.5,50
"1622","N=50",9.36,6,50
"1623","N=50",9.18,6.5,50
"1624","N=50",8.54,9,50
"1625","N=50",7.82,6,50
"1626","N=50",8.1,7,50
"1627","N=50",10.54,10,50
"1628","N=50",11.2,8,50
"1629","N=50",11.3,7,50
"1630","N=50",10.02,6.5,50
"1631","N=50",10.4,5,50
"1632","N=50",10.1,6.5,50
"1633","N=50",8.66,7.5,50
"1634","N=50",10.08,8,50
"1635","N=50",9.6,8.5,50
"1636","N=50",11.72,6,50
"1637","N=50",10.34,8,50
"1638","N=50",12.22,7.5,50
"1639","N=50",8.58,9,50
"1640","N=50",10.96,6.5,50
"1641","N=50",13.28,7,50
"1642","N=50",10.74,7,50
"1643","N=50",10.84,6.5,50
"1644","N=50",9.7,8.5,50
"1645","N=50",10.48,8,50
"1646","N=50",11.34,9,50
"1647","N=50",10.1,8,50
"1648","N=50",8.98,6,50
"1649","N=50",10.92,7.5,50
"1650","N=50",9.36,9,50
"1651","N=50",9.58,7.5,50
"1652","N=50",9.86,6.5,50
"1653","N=50",8.88,6,50
"1654","N=50",8.22,8,50
"1655","N=50",11.7,6.5,50
"1656","N=50",11.62,8,50
"1657","N=50",9.66,7.5,50
"1658","N=50",10.14,7,50
"1659","N=50",12.38,7,50
"1660","N=50",10.5,7,50
"1661","N=50",8.62,8,50
"1662","N=50",9.88,6.5,50
"1663","N=50",8.2,6,50
"1664","N=50",11.94,8,50
"1665","N=50",11.4,6,50
"1666","N=50",9.96,8,50
"1667","N=50",9.72,9,50
"1668","N=50",9.58,6.5,50
"1669","N=50",10.98,6,50
"1670","N=50",11.66,7,50
"1671","N=50",13.82,9,50
"1672","N=50",11.36,7,50
"1673","N=50",8.24,9,50
"1674","N=50",10.22,5,50
"1675","N=50",10.5,10,50
"1676","N=50",9.02,9,50
"1677","N=50",7.48,9,50
"1678","N=50",9.22,8,50
"1679","N=50",9.32,9,50
"1680","N=50",10.54,7,50
"1681","N=50",11.8,7,50
"1682","N=50",10.66,7,50
"1683","N=50",10.18,8.5,50
"1684","N=50",9.34,7.5,50
"1685","N=50",10.8,6,50
"1686","N=50",10.3,7.5,50
"1687","N=50",10.76,9,50
"1688","N=50",11.78,10,50
"1689","N=50",10.22,8.5,50
"1690","N=50",10.54,7.5,50
"1691","N=50",10.76,9,50
"1692","N=50",9.42,8,50
"1693","N=50",10.08,6,50
"1694","N=50",9.52,6.5,50
"1695","N=50",8.62,8.5,50
"1696","N=50",8.72,5.5,50
"1697","N=50",9.08,7,50
"1698","N=50",7.88,6,50
"1699","N=50",10.8,7.5,50
"1700","N=50",13.2,7,50
"1701","N=50",10.56,6,50
"1702","N=50",11.52,9,50
"1703","N=50",9.64,5,50
"1704","N=50",9.38,5.5,50
"1705","N=50",8.74,6.5,50
"1706","N=50",9.86,8,50
"1707","N=50",11.3,6.5,50
"1708","N=50",9.44,7,50
"1709","N=50",10.58,9.5,50
"1710","N=50",10.48,6.5,50
"1711","N=50",7.86,7.5,50
"1712","N=50",7.72,8.5,50
"1713","N=50",12.16,7,50
"1714","N=50",10.78,8.5,50
"1715","N=50",10.66,8,50
"1716","N=50",11.44,7,50
"1717","N=50",9.22,8,50
"1718","N=50",10.52,8.5,50
"1719","N=50",10.76,5,50
"1720","N=50",9.66,11,50
"1721","N=50",11.86,7,50
"1722","N=50",8.4,6.5,50
"1723","N=50",8.86,8.5,50
"1724","N=50",9.42,7.5,50
"1725","N=50",9.76,7,50
"1726","N=50",10.92,8,50
"1727","N=50",10.1,7.5,50
"1728","N=50",10.92,9,50
"1729","N=50",11.5,5.5,50
"1730","N=50",10.78,7,50
"1731","N=50",10.02,8,50
"1732","N=50",8.44,7,50
"1733","N=50",9.02,8.5,50
"1734","N=50",8.46,8,50
"1735","N=50",8.96,8,50
"1736","N=50",10.18,7.5,50
"1737","N=50",9.42,9.5,50
"1738","N=50",10.08,8.5,50
"1739","N=50",8.68,8,50
"1740","N=50",9.68,8,50
"1741","N=50",12.14,8,50
"1742","N=50",11.4,6,50
"1743","N=50",11.98,9,50
"1744","N=50",10.62,8,50
"1745","N=50",10.38,7,50
"1746","N=50",11.48,7,50
"1747","N=50",9.92,9.5,50
"1748","N=50",9.34,7,50
"1749","N=50",7.96,7.5,50
"1750","N=50",10.36,6.5,50
"1751","N=50",11.88,9,50
"1752","N=50",13.72,8,50
"1753","N=50",11.96,7.5,50
"1754","N=50",8.12,5,50
"1755","N=50",11.3,7,50
"1756","N=50",10.46,7,50
"1757","N=50",10.58,5.5,50
"1758","N=50",10.14,9,50
"1759","N=50",9.02,9,50
"1760","N=50",10.66,8,50
"1761","N=50",8.96,9,50
"1762","N=50",9.54,7.5,50
"1763","N=50",9.8,8,50
"1764","N=50",13.94,8,50
"1765","N=50",8.04,7,50
"1766","N=50",11.52,7.5,50
"1767","N=50",9.16,5,50
"1768","N=50",10.78,9,50
"1769","N=50",11.18,6.5,50
"1770","N=50",9.74,9.5,50
"1771","N=50",12.08,7.5,50
"1772","N=50",9.28,8,50
"1773","N=50",7.56,7,50
"1774","N=50",10.98,8,50
"1775","N=50",8.64,8.5,50
"1776","N=50",10.86,7,50
"1777","N=50",11.18,6.5,50
"1778","N=50",9.46,8,50
"1779","N=50",10.4,7.5,50
"1780","N=50",11.98,8,50
"1781","N=50",8.44,7.5,50
"1782","N=50",12.34,7,50
"1783","N=50",11.04,6,50
"1784","N=50",11.7,8,50
"1785","N=50",11.32,10,50
"1786","N=50",9.76,7,50
"1787","N=50",10.48,7,50
"1788","N=50",10.1,6.5,50
"1789","N=50",9.8,10,50
"1790","N=50",10.86,6.5,50
"1791","N=50",9.34,7.5,50
"1792","N=50",10.38,9,50
"1793","N=50",8.16,8.5,50
"1794","N=50",11.94,7,50
"1795","N=50",10.68,8,50
"1796","N=50",10.24,7,50
"1797","N=50",9.8,7.5,50
"1798","N=50",10.24,7.5,50
"1799","N=50",11.52,8,50
"1800","N=50",11.68,6.5,50
"1801","N=50",12.24,8,50
"1802","N=50",8.32,7.5,50
"1803","N=50",9.8,8,50
"1804","N=50",11.72,6.5,50
"1805","N=50",9.74,9,50
"1806","N=50",10.58,6,50
"1807","N=50",10.06,8.5,50
"1808","N=50",13.48,8,50
"1809","N=50",12.88,8,50
"1810","N=50",10.38,6,50
"1811","N=50",8.28,10,50
"1812","N=50",10.78,8,50
"1813","N=50",8.76,5.5,50
"1814","N=50",7.82,7.5,50
"1815","N=50",12.24,8.5,50
"1816","N=50",10,8,50
"1817","N=50",11.34,7.5,50
"1818","N=50",10.58,6.5,50
"1819","N=50",11.1,8,50
"1820","N=50",11.7,9,50
"1821","N=50",9.32,9,50
"1822","N=50",11.98,9.5,50
"1823","N=50",10.54,7.5,50
"1824","N=50",10.42,6.5,50
"1825","N=50",12.62,8.5,50
"1826","N=50",9.22,9,50
"1827","N=50",9.98,7,50
"1828","N=50",9.1,6,50
"1829","N=50",9.74,8,50
"1830","N=50",10.68,7,50
"1831","N=50",8.6,8,50
"1832","N=50",8.74,8.5,50
"1833","N=50",8.34,6,50
"1834","N=50",11.18,8,50
"1835","N=50",8.16,9.5,50
"1836","N=50",10.3,8,50
"1837","N=50",8.54,7,50
"1838","N=50",9.72,7,50
"1839","N=50",8.54,10,50
"1840","N=50",9,7,50
"1841","N=50",10.58,6,50
"1842","N=50",12.6,8,50
"1843","N=50",13.18,5.5,50
"1844","N=50",9.98,5.5,50
"1845","N=50",10.2,9.5,50
"1846","N=50",9.44,6.5,50
"1847","N=50",10.5,9,50
"1848","N=50",10.04,6,50
"1849","N=50",10.4,8,50
"1850","N=50",9.74,6,50
"1851","N=50",9.34,8,50
"1852","N=50",7.74,7.5,50
"1853","N=50",9.54,8.5,50
"1854","N=50",10.04,6,50
"1855","N=50",9.04,6.5,50
"1856","N=50",10.66,9,50
"1857","N=50",8.46,7.5,50
"1858","N=50",11.52,9.5,50
"1859","N=50",11.28,9,50
"1860","N=50",11.34,6.5,50
"1861","N=50",10.9,7,50
"1862","N=50",9.86,7.5,50
"1863","N=50",10.98,7,50
"1864","N=50",11.42,5.5,50
"1865","N=50",10.4,9,50
"1866","N=50",9.56,7,50
"1867","N=50",14.3,7,50
"1868","N=50",9.9,8,50
"1869","N=50",12.28,6,50
"1870","N=50",10.72,8.5,50
"1871","N=50",8.28,7,50
"1872","N=50",11.82,8,50
"1873","N=50",11.1,7,50
"1874","N=50",10.32,8,50
"1875","N=50",9.16,6,50
"1876","N=50",12.08,9,50
"1877","N=50",11.06,8.5,50
"1878","N=50",9.54,8,50
"1879","N=50",11.66,7.5,50
"1880","N=50",12.54,7.5,50
"1881","N=50",12.36,5.5,50
"1882","N=50",10.9,7,50
"1883","N=50",9,8,50
"1884","N=50",8.5,7.5,50
"1885","N=50",11.38,6.5,50
"1886","N=50",11.64,8,50
"1887","N=50",9.24,7.5,50
"1888","N=50",8.38,8,50
"1889","N=50",10.38,7,50
"1890","N=50",11.64,9,50
"1891","N=50",11.1,9,50
"1892","N=50",7.64,6,50
"1893","N=50",10.16,9,50
"1894","N=50",9.68,5,50
"1895","N=50",10.44,8,50
"1896","N=50",11.82,8,50
"1897","N=50",10.14,9,50
"1898","N=50",10.96,9,50
"1899","N=50",9,10,50
"1900","N=50",9.56,6,50
"1901","N=50",11.94,9,50
"1902","N=50",10.44,6,50
"1903","N=50",7.82,6,50
"1904","N=50",12.12,7,50
"1905","N=50",8.48,6,50
"1906","N=50",11.82,9,50
"1907","N=50",10.18,9,50
"1908","N=50",9.22,8.5,50
"1909","N=50",11.34,7,50
"1910","N=50",8.48,7.5,50
"1911","N=50",9.74,7,50
"1912","N=50",10.04,7,50
"1913","N=50",10.42,8,50
"1914","N=50",11.58,8.5,50
"1915","N=50",10.9,8,50
"1916","N=50",12.62,8,50
"1917","N=50",11.86,7,50
"1918","N=50",8.72,8.5,50
"1919","N=50",10.7,7.5,50
"1920","N=50",10.48,6.5,50
"1921","N=50",12.86,8.5,50
"1922","N=50",10.9,7.5,50
"1923","N=50",10.5,5.5,50
"1924","N=50",11.42,8,50
"1925","N=50",9.54,8,50
"1926","N=50",10.84,6.5,50
"1927","N=50",8.38,6.5,50
"1928","N=50",9.54,7,50
"1929","N=50",8.66,8,50
"1930","N=50",11.5,7.5,50
"1931","N=50",11.52,7,50
"1932","N=50",9.94,10,50
"1933","N=50",11.62,9,50
"1934","N=50",10.68,7.5,50
"1935","N=50",11.98,7,50
"1936","N=50",9.66,6.5,50
"1937","N=50",10.32,7.5,50
"1938","N=50",8.9,8,50
"1939","N=50",12.68,6.5,50
"1940","N=50",11.48,9,50
"1941","N=50",9.18,8,50
"1942","N=50",10.34,6,50
"1943","N=50",10.64,6,50
"1944","N=50",13.02,7.5,50
"1945","N=50",11.34,8,50
"1946","N=50",11.28,8.5,50
"1947","N=50",10.1,10.5,50
"1948","N=50",13.16,8,50
"1949","N=50",10.96,6,50
"1950","N=50",10.86,7,50
"1951","N=50",8.68,8,50
"1952","N=50",12.78,8,50
"1953","N=50",9.16,8,50
"1954","N=50",9.18,9.5,50
"1955","N=50",8.08,7.5,50
"1956","N=50",10.32,8.5,50
"1957","N=50",9,7.5,50
"1958","N=50",11.16,8.5,50
"1959","N=50",10.2,7.5,50
"1960","N=50",7.12,8,50
"1961","N=50",8.46,6,50
"1962","N=50",10.22,8,50
"1963","N=50",11.54,5,50
"1964","N=50",10.02,6.5,50
"1965","N=50",12.2,7.5,50
"1966","N=50",13.34,9,50
"1967","N=50",8.58,8.5,50
"1968","N=50",9.56,9,50
"1969","N=50",9.42,5,50
"1970","N=50",9.3,7,50
"1971","N=50",9.32,8,50
"1972","N=50",11.24,6.5,50
"1973","N=50",12.08,8,50
"1974","N=50",11.1,9,50
"1975","N=50",14.1,7,50
"1976","N=50",12.9,7,50
"1977","N=50",10.18,9,50
"1978","N=50",11.86,7,50
"1979","N=50",10.44,7,50
"1980","N=50",8.6,8.5,50
"1981","N=50",10.58,9,50
"1982","N=50",9.1,7,50
"1983","N=50",8.46,6.5,50
"1984","N=50",10.86,7.5,50
"1985","N=50",8.72,7,50
"1986","N=50",7.86,8,50
"1987","N=50",10.48,8,50
"1988","N=50",11.74,7,50
"1989","N=50",11.96,6,50
"1990","N=50",10.16,7,50
"1991","N=50",8.6,9.5,50
"1992","N=50",10.1,8,50
"1993","N=50",10.34,6.5,50
"1994","N=50",8.08,6,50
"1995","N=50",11.36,6,50
"1996","N=50",9.06,8,50
"1997","N=50",10.76,8.5,50
"1998","N=50",8.92,8.5,50
"1999","N=50",7.96,8,50
"2000","N=50",10.7,8.5,50
"2001","N=200",10.95,8,200
"2002","N=200",10.89,8,200
"2003","N=200",12.42,6.5,200
"2004","N=200",12.045,7,200
"2005","N=200",10.435,9,200
"2006","N=200",10.47,6,200
"2007","N=200",12.195,6,200
"2008","N=200",11.655,8,200
"2009","N=200",10.95,8,200
"2010","N=200",9.8,6,200
"2011","N=200",10.73,7,200
"2012","N=200",11.045,7,200
"2013","N=200",10.475,8,200
"2014","N=200",10.97,8,200
"2015","N=200",13.45,7.5,200
"2016","N=200",10.255,8,200
"2017","N=200",11.885,8,200
"2018","N=200",11.915,7,200
"2019","N=200",11.18,6,200
"2020","N=200",11.56,6.5,200
"2021","N=200",11.26,7.5,200
"2022","N=200",11.105,7,200
"2023","N=200",12.855,7,200
"2024","N=200",11.82,8.5,200
"2025","N=200",10.6,9,200
"2026","N=200",11.825,8,200
"2027","N=200",11.2,8,200
"2028","N=200",12.915,8,200
"2029","N=200",10.785,7,200
"2030","N=200",11.95,6,200
"2031","N=200",11.46,7,200
"2032","N=200",11.255,6,200
"2033","N=200",11.72,8,200
"2034","N=200",9.325,8,200
"2035","N=200",12.11,7,200
"2036","N=200",10.285,8,200
"2037","N=200",11.325,8,200
"2038","N=200",11.575,8,200
"2039","N=200",10.6,8,200
"2040","N=200",11.36,9,200
"2041","N=200",11.125,6,200
"2042","N=200",11.67,8,200
"2043","N=200",9.84,7,200
"2044","N=200",9.7,7.5,200
"2045","N=200",11.2,8,200
"2046","N=200",12.12,7,200
"2047","N=200",10.55,6,200
"2048","N=200",11.595,7,200
"2049","N=200",12.61,6,200
"2050","N=200",11.6,6,200
"2051","N=200",10.595,7,200
"2052","N=200",12.11,7.5,200
"2053","N=200",10.24,8,200
"2054","N=200",10.195,8,200
"2055","N=200",13.55,7,200
"2056","N=200",11.26,7,200
"2057","N=200",11.135,8,200
"2058","N=200",10.805,7.5,200
"2059","N=200",11.77,6.5,200
"2060","N=200",11.17,7,200
"2061","N=200",9.595,6,200
"2062","N=200",10.97,8,200
"2063","N=200",9.96,7.5,200
"2064","N=200",10.225,6,200
"2065","N=200",11.015,8,200
"2066","N=200",11.49,7,200
"2067","N=200",10.14,7,200
"2068","N=200",12.415,6,200
"2069","N=200",10.38,8,200
"2070","N=200",11.855,8,200
"2071","N=200",11.075,7,200
"2072","N=200",10.83,8,200
"2073","N=200",12.145,7.5,200
"2074","N=200",10.57,7.5,200
"2075","N=200",11.425,8,200
"2076","N=200",11.075,7,200
"2077","N=200",10.44,7,200
"2078","N=200",10.445,8,200
"2079","N=200",11.325,8.5,200
"2080","N=200",12.27,6,200
"2081","N=200",9.85,8,200
"2082","N=200",10.875,7,200
"2083","N=200",10.305,8,200
"2084","N=200",10.775,8,200
"2085","N=200",9.765,7,200
"2086","N=200",10.455,8,200
"2087","N=200",11.375,7,200
"2088","N=200",10.98,8,200
"2089","N=200",10.655,7,200
"2090","N=200",11.335,8,200
"2091","N=200",12.3,6,200
"2092","N=200",11.375,7,200
"2093","N=200",11.22,8,200
"2094","N=200",11.205,6,200
"2095","N=200",11.215,7,200
"2096","N=200",11.455,8,200
"2097","N=200",10.385,6,200
"2098","N=200",12.285,8,200
"2099","N=200",10.34,6,200
"2100","N=200",11.675,8,200
"2101","N=200",11.205,7,200
"2102","N=200",11.695,8,200
"2103","N=200",10.925,8,200
"2104","N=200",10.945,8,200
"2105","N=200",12.875,7,200
"2106","N=200",11.23,8,200
"2107","N=200",11.16,6.5,200
"2108","N=200",10.46,8,200
"2109","N=200",10.83,8,200
"2110","N=200",11.815,7.5,200
"2111","N=200",12.385,8,200
"2112","N=200",10.73,8,200
"2113","N=200",11.355,7,200
"2114","N=200",10.175,8,200
"2115","N=200",11.395,8,200
"2116","N=200",12.295,7,200
"2117","N=200",12.11,8,200
"2118","N=200",10.19,7,200
"2119","N=200",12.11,7,200
"2120","N=200",11.095,9,200
"2121","N=200",11.005,7,200
"2122","N=200",11.68,8,200
"2123","N=200",11.205,9,200
"2124","N=200",11.235,8,200
"2125","N=200",10.905,8,200
"2126","N=200",10.325,7,200
"2127","N=200",11.095,8,200
"2128","N=200",10.8,8,200
"2129","N=200",11.995,6,200
"2130","N=200",10.78,7.5,200
"2131","N=200",11.135,8.5,200
"2132","N=200",11.265,8,200
"2133","N=200",11.895,8,200
"2134","N=200",11.19,8,200
"2135","N=200",9.575,6,200
"2136","N=200",11.31,7,200
"2137","N=200",10.45,7,200
"2138","N=200",9.43,6,200
"2139","N=200",11.615,7.5,200
"2140","N=200",11.17,7.5,200
"2141","N=200",11.93,9,200
"2142","N=200",12.585,8,200
"2143","N=200",12.175,8,200
"2144","N=200",10.47,7,200
"2145","N=200",11.265,8,200
"2146","N=200",10.62,8,200
"2147","N=200",11.135,8.5,200
"2148","N=200",10.7,8,200
"2149","N=200",10.405,6,200
"2150","N=200",10.895,8,200
"2151","N=200",11.95,6,200
"2152","N=200",12.165,8,200
"2153","N=200",11.82,8,200
"2154","N=200",11.205,8,200
"2155","N=200",11.015,6,200
"2156","N=200",11,8,200
"2157","N=200",11.77,8,200
"2158","N=200",10.665,7,200
"2159","N=200",10.715,7,200
"2160","N=200",10.355,8,200
"2161","N=200",11.24,7,200
"2162","N=200",11.63,8,200
"2163","N=200",10.645,8,200
"2164","N=200",12.48,7.5,200
"2165","N=200",10.815,8,200
"2166","N=200",11.495,6,200
"2167","N=200",10.775,7.5,200
"2168","N=200",11.445,6,200
"2169","N=200",12.09,7,200
"2170","N=200",10.97,8,200
"2171","N=200",10.205,8,200
"2172","N=200",10.315,8,200
"2173","N=200",10.995,6,200
"2174","N=200",11.405,6,200
"2175","N=200",9.345,7,200
"2176","N=200",10.83,7.5,200
"2177","N=200",12.485,6,200
"2178","N=200",10.585,8,200
"2179","N=200",11.75,8,200
"2180","N=200",10.405,7.5,200
"2181","N=200",10.705,6,200
"2182","N=200",11.545,8,200
"2183","N=200",11.485,7,200
"2184","N=200",11.23,7.5,200
"2185","N=200",10.705,8,200
"2186","N=200",10.375,8,200
"2187","N=200",10.155,8,200
"2188","N=200",10.74,8,200
"2189","N=200",10.65,6.5,200
"2190","N=200",12.585,6,200
"2191","N=200",9.83,6,200
"2192","N=200",11.67,6,200
"2193","N=200",10.285,7,200
"2194","N=200",10.005,7,200
"2195","N=200",10.65,8,200
"2196","N=200",11.415,7,200
"2197","N=200",10.82,7,200
"2198","N=200",11.23,8,200
"2199","N=200",11.745,7,200
"2200","N=200",12.005,8,200
"2201","N=200",10.62,6,200
"2202","N=200",11.18,8,200
"2203","N=200",13.75,8,200
"2204","N=200",10.945,8,200
"2205","N=200",9.895,8,200
"2206","N=200",11.585,8,200
"2207","N=200",11.48,8,200
"2208","N=200",11.67,7,200
"2209","N=200",9.58,6,200
"2210","N=200",10.725,7,200
"2211","N=200",10.41,8,200
"2212","N=200",11.28,8,200
"2213","N=200",10.175,9,200
"2214","N=200",11.19,8,200
"2215","N=200",11.725,7,200
"2216","N=200",11.125,7,200
"2217","N=200",11.36,7.5,200
"2218","N=200",12.17,7,200
"2219","N=200",11.74,8,200
"2220","N=200",10.66,7,200
"2221","N=200",11.585,7,200
"2222","N=200",11.62,8,200
"2223","N=200",12.01,8,200
"2224","N=200",11.15,7,200
"2225","N=200",9.44,7,200
"2226","N=200",10.465,8,200
"2227","N=200",12.18,7,200
"2228","N=200",11.875,6,200
"2229","N=200",10.91,7,200
"2230","N=200",10.06,8,200
"2231","N=200",10.21,8,200
"2232","N=200",10.25,8,200
"2233","N=200",11.775,8,200
"2234","N=200",11.165,7.5,200
"2235","N=200",11.815,8,200
"2236","N=200",12.485,7,200
"2237","N=200",10.51,8,200
"2238","N=200",12.385,8,200
"2239","N=200",10.095,7,200
"2240","N=200",11.655,8,200
"2241","N=200",12.41,8,200
"2242","N=200",11.71,7,200
"2243","N=200",10.95,7.5,200
"2244","N=200",12.505,7,200
"2245","N=200",10.76,8,200
"2246","N=200",11.265,8,200
"2247","N=200",11.135,8,200
"2248","N=200",12.945,6,200
"2249","N=200",10.32,9,200
"2250","N=200",11.485,7,200
"2251","N=200",12.865,8,200
"2252","N=200",12.02,8,200
"2253","N=200",12.01,8,200
"2254","N=200",10.865,7.5,200
"2255","N=200",11.57,8,200
"2256","N=200",12.18,7,200
"2257","N=200",10.525,6.5,200
"2258","N=200",11.585,8,200
"2259","N=200",11.68,8,200
"2260","N=200",10.765,8,200
"2261","N=200",9.755,6,200
"2262","N=200",10.75,8,200
"2263","N=200",11.175,8,200
"2264","N=200",11.73,6,200
"2265","N=200",12.245,8,200
"2266","N=200",13.71,10,200
"2267","N=200",12.785,8,200
"2268","N=200",10.72,8,200
"2269","N=200",11.375,8,200
"2270","N=200",11.575,8,200
"2271","N=200",11.31,8,200
"2272","N=200",10.73,8,200
"2273","N=200",11.885,7.5,200
"2274","N=200",12.015,8,200
"2275","N=200",11.16,8,200
"2276","N=200",10.805,8,200
"2277","N=200",11.435,6,200
"2278","N=200",11.25,7,200
"2279","N=200",11.015,8,200
"2280","N=200",10.665,7.5,200
"2281","N=200",11.39,8,200
"2282","N=200",10.255,8,200
"2283","N=200",10.655,8,200
"2284","N=200",12.94,7,200
"2285","N=200",11.545,6.5,200
"2286","N=200",10.69,7,200
"2287","N=200",10.525,8,200
"2288","N=200",11.82,8,200
"2289","N=200",12.485,8,200
"2290","N=200",11.38,7,200
"2291","N=200",11.365,8,200
"2292","N=200",12.65,8,200
"2293","N=200",12.25,6,200
"2294","N=200",10.29,8,200
"2295","N=200",10.93,7.5,200
"2296","N=200",9.925,8,200
"2297","N=200",10.675,6,200
"2298","N=200",12.85,8,200
"2299","N=200",10.235,7,200
"2300","N=200",10.27,8,200
"2301","N=200",10.92,7.5,200
