Year,China,India,United States of America,Russian Federation,Japan,Indonesia,Germany,Brazil,United Kingdom,Northern Africa,Italy,France,Bangladesh,Nigeria,Pakistan,Ukraine,Mexico,Spain,Viet Nam,Poland,Turkey,Thailand,Egypt,Republic of Korea,Philippines,Ethiopia,Iran (Islamic Republic of),Argentina,Myanmar,Caribbean,Romania,Southern Africa,Canada,South Africa,Oceania,Colombia,Democratic Republic of the Congo,Australia/New Zealand,Dem. People's Republic of Korea,Netherlands,Hungary,Morocco,Algeria,Czechia,Belgium,Nepal,Portugal,Australia,Sri Lanka,Peru,"China, Taiwan Province of China",United Republic of Tanzania,Afghanistan,Greece,Belarus,Bulgaria,Sweden,Austria,Serbia,Kazakhstan,Uzbekistan,Chile,Malaysia,Mozambique,Kenya,Cuba,Iraq,Sudan,Venezuela (Bolivarian Republic of),Uganda,Ghana,Mali,Switzerland,Angola,Cambodia,Yemen,Cameroon,Burkina Faso,Denmark,Madagascar,Finland,Croatia,Tunisia,Ecuador,Georgia,Slovakia,Syrian Arab Republic,Norway,Haiti,Guatemala,Saudi Arabia,Guinea,Bolivia (Plurinational State of),Malawi,Azerbaijan,Ireland,Zimbabwe,Bosnia and Herzegovina,Cote d'Ivoire,Niger,South Sudan,Lithuania,Senegal,Chad,Dominican Republic,Republic of Moldova,Zambia,Burundi,Somalia,Uruguay,Benin,Rwanda,El Salvador,Puerto Rico,Melanesia,"China, Hong Kong SAR",Sierra Leone,New Zealand,Latvia,Kyrgyzstan,Lao People's Democratic Republic,Papua New Guinea,Honduras,Tajikistan,Paraguay,Slovenia,Jamaica,Togo,Armenia,Lebanon,Israel,Central African Republic,Nicaragua,TFYR Macedonia,Albania,Turkmenistan,Eritrea,Libya,Estonia,Singapore
1970,824788.46,553578.51,209588.15,130123.43,104925.65,114834.78,78572.98,95326.79,55634.94,83148.81,53578.68,50843.83,65047.77,55981.4,58090.76,47086.76,52029.86,33980.28,43407.29,32635.56,34876.27,36884.91,35046.27,32209.31,35804.73,28415.08,28514.01,23973.06,26381.43,25309.99,20548.91,25794.21,21452.74,22839.45,19718.03,22061.22,20009.94,15661.29,14410.4,13001.94,10366.34,16000.01,14550.03,9817.82,9632.18,11997.93,8701.86,12842.91,12485.76,13341.07,14693.15,13605.53,11126.12,8659.8,8977.64,8507.48,8054.92,7516.24,8119.86,13110,12110.03,9563.87,10803.98,9161.53,11252.49,8715.12,9917.98,10281.7,11587.76,9446.06,8596.98,5949.05,6169.36,6776.38,6994.85,6193.81,6527.64,5624.6,4931.24,6576.31,4612.37,4423.07,5060.4,6072.53,4713.32,4538.84,6350.54,3876.06,4708.64,5621.79,5836.39,4219.77,4505.78,4603.72,5180.03,2950,5175.62,3760.53,5242.4,4510.48,3647.71,3136.58,4257.51,3643.55,4503.11,3594.52,4173.93,3455.61,3444.55,2809.8,2912.34,3754.54,3668.6,2709.84,3399.12,3873.11,2692.26,2818.39,2378.02,2969.86,2688.43,2527.59,2716.66,2930.08,2474.11,1669.58,1875.38,2115.52,2525.07,2297.39,2849.62,1828.71,2398.1,1720.8,2150.6,2195.17,1811.88,2133.53,1360.2,2072.29
1971,845481.58,566224.81,211461.6,130805.2,106425.27,117922,78786.61,97728.96,55809.75,85269.37,53949.93,51273.47,66424.74,57295.21,59687.14,47433.81,53718.72,34363.92,44485.91,32886.6,35720.57,37964.93,35863.38,32863.7,36851.06,29245.21,29281.27,24366.44,27024.99,25772.8,20783.75,26518.67,21804.27,23482.81,20113.7,22611.99,20562.87,15954.98,14809.52,13147.93,10398.44,16347.2,14960.11,9847.39,9663.32,12243.77,8750.51,13084.16,12747.84,13704.34,15038,14045.82,11417.83,8712.68,9051.22,8558.97,8095.79,7550.34,8187.99,13324.67,12477.06,9745.19,11062.34,9375.14,11657.51,8869.96,10255.9,10621.47,11937.81,9720.4,8827.27,6044.53,6221.64,6927.27,7137.75,6300.55,6697.75,5723.38,4961.76,6757.85,4629.38,4438.81,5172.69,6248.84,4758.15,4575.56,6570.86,3905.27,4793.16,5780.48,6100.99,4263.84,4600.59,4728.7,5284.53,2986.78,5351.2,3805.29,5479.34,4637.83,3734.42,3170.07,4388.46,3726.09,4631.11,3645.52,4317.75,3505.39,3470.32,2818.27,2976.57,3868.34,3765.17,2745.97,3488.29,3937.83,2745.78,2870.82,2398.38,3039.77,2762.27,2592.63,2798.13,3020.39,2535.36,1681.43,1904.02,2185.66,2587.71,2353.56,2936.67,1864.6,2472.66,1739.52,2202.04,2258.96,1861.2,2228.15,1373.31,2110.98
1972,865686.53,579411.51,213351.77,131514.1,107977.04,121059.51,78901.71,100143.6,55953.32,87408.88,54321.02,51739.84,67597.47,58662.6,61338.26,47783.01,55478.15,34760.52,45549.48,33143.19,36587.23,39061.99,36673.64,33518.39,37925.4,30132.58,30074.3,24782.95,27680.14,26244.32,21011.7,27268.98,22156.21,24148.14,20489.7,23146.8,21120.14,16226.56,15207.77,13291.87,10426.43,16695,15377.09,9891.28,9692.85,12499.43,8839.8,13296.87,13002.28,14072.48,15354.59,14506.62,11721.94,8769.76,9120.96,8608.61,8127.03,7581.12,8260.63,13538.75,12828.63,9922.56,11324.25,9595.76,12083.19,9025.3,10599.85,10974.62,12286.44,9988.38,9083.57,6147.46,6270.12,7094.83,7300.15,6407.3,6875.23,5825.17,4990.55,6946.62,4651.17,4453.99,5287.54,6428.71,4793.55,4615.83,6800.14,3933.73,4876.56,5941.57,6393.89,4298.09,4698.08,4859.61,5385.27,3030.4,5535.87,3851.15,5737.28,4768.08,3824.76,3203.63,4525.11,3815.1,4759.93,3697.15,4469.9,3544.05,3475.02,2821.44,3043.57,3983.7,3861.93,2787.35,3581.07,3998.31,2803.03,2929.69,2418.27,3105.54,2840.84,2659.85,2882.11,3111.26,2596.74,1694.98,1934.83,2247.58,2650.48,2416.74,3033.92,1900.32,2549.77,1754.96,2253.84,2324.01,1912.3,2327.49,1386.07,2150.52
1973,885145.93,593058.93,215268.69,132250.78,109532.88,124242.3,78936.17,102584.28,56066.83,89592.1,54682.63,52212.31,68691.19,60110.43,63059.48,48127.17,57280.59,35165.56,46604.73,33407.62,37472.3,40164.97,37488.07,34164.54,39026.08,31025.12,30904.27,25213.39,28347.34,26718.43,21233.47,28039.38,22503.24,24829.69,20846.07,23674.5,21689.24,16475.85,15593.35,13431.18,10454.06,17049.17,15804.43,9946.38,9720.76,12764.96,8958.96,13486.44,13252.09,14447.65,15651.32,14985.13,12027.82,8835.14,9187.68,8655.67,8151.6,7607.07,8337.08,13748.32,13173.59,10096.3,11592.7,9827.58,12529.85,9176.05,10951.17,11343.93,12636.97,10256.43,9350.11,6256.19,6311.48,7277.96,7447.29,6523.45,7060.6,5930.48,5017.25,7142.63,4675.46,4469.04,5405.36,6611.92,4822.16,4659.28,7037.85,3960.8,4960.66,6104.53,6714.1,4324.36,4798.51,4996.94,5483.08,3079.3,5727.04,3897.26,6013.86,4902.01,3918.92,3236.73,4664.44,3907.63,4889.44,3747.93,4629.4,3578.49,3506.01,2822.08,3113.68,4102.32,3958.32,2833.13,3677.23,4062.04,2863.74,2989.41,2437.18,3168.29,2919.29,2729.58,2968.99,3203.02,2659.09,1709.98,1966.7,2303.35,2712.78,2480.42,3137.03,1936.84,2629.51,1768.99,2306,2390.21,1965.16,2430.76,1398.47,2189.64
1974,903613.54,607050.26,217218.39,133008.91,111030.14,127465.23,78917.22,105069.37,56152.18,91852.92,55022.22,52646.2,69884.42,61673.56,64870.83,48455.12,59088.19,35572.48,47661.77,33681.72,38370.24,41259.54,38322.02,34789.94,40149.96,31851.71,31785.5,25644.51,29027.73,27186.06,21451.13,28821.85,22838.19,25519.6,21184.32,24208.02,22280.92,16704.23,15952.08,13562.44,10486.63,17416.96,16247.11,10007.47,9747.02,13040.4,9091.4,13662.05,13501.99,14832.84,15940.9,15477.29,12321.54,8914.18,9252.68,8699.14,8173.97,7626.29,8416.25,13946.82,13525.09,10267.06,11871.23,10076.17,12997.6,9315.37,11312.31,11732.96,12994.03,10533.72,9604.28,6368.35,6341.06,7474.34,7531.42,6661.57,7254.47,6040.04,5041.42,7345.78,4698.78,4484.52,5526.76,6798.21,4847.85,4705.11,7283.18,3985.74,5047.94,6268.71,7059.33,4345.55,4902.17,5141.2,5579.08,3131.18,5920.94,3942.22,6305.29,5040.66,4017.08,3268.64,4802.35,3999.51,5019.47,3795.65,4794.75,3618.59,3627.5,2824.07,3187.41,4226.8,4053.71,2881.75,3776.4,4139.1,2927.47,3042.18,2454.39,3229.69,2990.97,2802.24,3059.25,3296.1,2723.52,1725.96,1998.03,2356.62,2773.75,2535.5,3239.56,1975.52,2711.85,1784.4,2358.46,2457.38,2019.72,2536.89,1410.47,2226.4
1975,920945.08,621301.72,219205.3,133784.38,112423.06,130724.12,78866.5,107612.1,56211.95,94217.2,55330.69,53010.73,71305.92,63373.57,66787.9,48758.99,60872.4,35975.32,48729.39,33966.57,39277.21,42334.95,39187.7,35386.51,41295.12,32566.82,32730.55,26066.98,29721.97,27641.02,21665.64,29610.74,23156.21,26212.41,21506.86,24756.97,22902.32,16913.84,16274.74,13683.29,10527.27,17803.7,16709.1,10070.14,9771.59,13325.81,9224.06,13831.21,13755.16,15229.95,16232.67,15980.3,12590.29,9009.92,9316.96,8738.36,8197.34,7637.69,8497.17,14130.07,13892.64,10435.53,12162.37,10344.49,13486.63,9438.44,11684.59,12144.14,13360.99,10827.15,9831.41,6482.28,6356.19,7682.48,7522.59,6830.69,7457.36,6154.55,5062.73,7556.03,4718.75,4500.87,5652.48,6987.39,4873.62,4752.54,7535.71,4008.03,5140.36,6433.73,7428.7,4364.51,5009.26,5292.81,5674.14,3184.13,6115.37,3985.1,6608.61,5184.81,4119.44,3298.87,4936.21,4087.95,5149.94,3838.91,4964.83,3671.49,3880.32,2830.17,3265.17,4359.09,4147.53,2931.89,3878.33,4236,2993.88,3082.63,2469.44,3291.08,3051.58,2878.16,3153.26,3390.94,2790.96,1742.62,2027.74,2410.45,2832.76,2575.69,3336.76,2017.37,2796.75,1803.01,2411.23,2525.36,2075.97,2645.14,1422.04,2259.75
1976,937018.25,635771.73,221239.22,134580.09,113690.11,134010.69,78794.5,110213.08,56247.41,96690.54,55604.29,53295.79,72999.14,65226.23,68813.22,49036.46,62623.76,36373.1,49808.07,34261.87,40189.51,43386.84,40089.03,35948.93,42461.19,33146.89,33737.77,26477.15,30428.03,28081.33,21877.4,30402.64,23456.51,26904.35,21811.92,25323.41,23559.07,17103.19,16554.75,13793.11,10578.46,18210.75,17190.24,10134.72,9794.78,13621.11,9354.49,13994.62,14012.82,15639.9,16528.71,16493.31,12840.3,9124.76,9380.45,8772.54,8223.25,7640.75,8579.63,14296.77,14279.12,10601.84,12468.89,10632.93,13996.7,9544.27,12068.17,12578.41,13739.14,11139.83,10023.47,6596.77,6355.23,7901,7402.87,7034.87,7669.45,6274.04,5081.27,7773.45,4734.44,4518.1,5781.8,7179.4,4900.18,4801.74,7794.66,4027.48,5238.25,6599.21,7818.61,4381.6,5119.83,5454.71,5768.72,3237.59,6308.3,4025.27,6922.98,5334.92,4224.53,3327.26,5064.67,4172.23,5280.72,3876.95,5139.03,3739.66,4289.47,2841.43,3347.17,4499.51,4239.68,2983.58,3982.7,4356.58,3062.96,3108.57,2482.18,3352.62,3098.97,2957.34,3251.16,3487.64,2861.58,1759.73,2055.09,2464.46,2889.58,2598.35,3427.66,2062.41,2884.16,1825.55,2464.34,2594.31,2133.72,2754.7,1433.18,2288.89
1977,951927.44,650485.03,223324.04,135402.8,114839.12,137322.12,78701.8,112867.87,56262.02,99270.09,55845.07,53516.21,74925.9,67215.81,70946.23,49290.91,64345.88,36763.53,50899.5,34566.89,41108.25,44416.01,41026.48,36481.59,43650.33,33622.39,34810.72,26878.57,31144.32,28509.66,22083.77,31199.33,23741.59,27597.3,22101.73,25905.13,24247.55,17274.47,16796.58,13892.92,10637.07,18636.98,17690.18,10200.92,9816.7,13926.26,9483.63,14152.07,14273.27,16061.32,16826.47,17017.67,13067.54,9255.38,9443,8801.89,8250.7,7636.58,8663.33,14450.53,14681.46,10766.42,12790.55,10936.94,14528.29,9634.68,12460.91,13034.63,14127.79,11470.87,10189.89,6712.4,6341.18,8130.99,7194.28,7271.87,7890.97,6398.94,5097.05,7998.16,4746.93,4536.2,5915.01,7374.23,4927.24,4852.5,8060.65,4044.33,5341.42,6765.52,8231.6,4398.48,5233.68,5627.53,5863.13,3291.17,6501.89,4063.19,7248.83,5490.92,4332.29,3354.06,5189.54,4253.99,5411.87,3910.64,5317.63,3821.19,4827.36,2857.11,3433.44,4647.62,4329.96,3036.75,4089.55,4496.87,3134.8,3122.41,2492.98,3414.32,3135.84,3039.66,3352.84,3586.5,2935.38,1777.32,2080.54,2518.57,2944.38,2606.22,3513.53,2110.46,2973.81,1851.07,2517.87,2664.26,2193.07,2865.64,1443.89,2315.02
1978,966039.82,665502.28,225449.66,136255.4,115890.28,140665.86,78589.31,115577.67,56263.66,101962.45,56057.03,53696.45,77033.85,69293.55,73194.94,49526.88,66039.49,37137.7,52015.28,34881.38,42039.94,45423.44,42004.66,36997.8,44866.27,34068.32,35972.65,27277.74,31872.23,28930.27,22279.3,32006.9,24014.08,28298.15,22387.77,26502.17,24954.66,17438.25,17015.98,13984.06,10693.83,19081.72,18212.33,10263.11,9836.81,14241.4,9605.59,14309.3,14533.38,16491.08,17125.17,17555.49,13237.73,9392.11,9505.45,8828.01,8277.41,7627.76,8746.98,14597.85,15096.01,10930.78,13123.07,11248.05,15082.99,9711.39,12859.09,13510.42,14525.93,11818.31,10354.5,6831.3,6321.54,8376.15,6955.57,7536.76,8122.53,6530.82,5109.69,8230.22,4758.25,4555.42,6054.91,7571.96,4955.5,4903.2,8336.42,4059.18,5450.55,6933.91,8679.84,4421.13,5350.32,5806.85,5957.93,3343.15,6703.18,4100.35,7585.91,5652.36,4445.83,3379.8,5315.27,4335.65,5543.52,3942.14,5501.45,3913.77,5417.74,2875.97,3523.94,4803.73,4417.52,3089.76,4199.42,4646.18,3209.26,3128.96,2502.51,3477.23,3168.84,3125.03,3458.1,3688.39,3012.83,1795.65,2105.66,2576.47,2997.41,2604.87,3594.49,2162.25,3065.12,1877.69,2571.85,2734.9,2254.45,2979.09,1454.27,2341.43
1979,979880.62,680915.8,227599.88,137140.56,116878.03,144053.52,78454.85,118342.63,56262.13,104772.87,56246.8,53872.44,79236.78,71391.29,75567.68,49751.26,67709.69,37484.75,53169.67,35204.73,42993.99,46412.31,43027.82,37516.49,46114,34590.23,37252.66,27684.53,32613.89,29349.5,22456.95,32834.45,24278.05,29017.05,22685.18,27113.51,25661.88,17608.54,17235.67,14068.59,10735.99,19543.35,18760.76,10314.15,9854.38,14566.69,9714.16,14473.24,14788.61,16924.75,17422.72,18109.88,13306.7,9521.67,9568.88,8853.19,8300,7617.88,8829.04,14747.56,15516.86,11096.87,13460.2,11554.98,15662.85,9777.29,13257.8,14002.3,14931.74,12178.54,10550.78,6956.58,6306.54,8641.52,6768.72,7821.55,8364.84,6671.66,5118.71,8469.67,4771.35,4576.03,6205.21,7772.65,4985.56,4951.79,8625.69,4072.87,5566.27,7106.15,9179.62,4457.08,5469.12,5986.33,6053.65,3391.58,6921.79,4138.82,7934.28,5818.51,4569.42,3405.18,5448.11,4420.72,5675.93,3974.51,5691.75,4013.31,5953.62,2896.02,3618.53,4968.07,4501.32,3140.56,4313.14,4789.32,3286.18,3135.3,2511.74,3542.52,3207.33,3213.36,3566.67,3794.42,3094.48,1815.1,2132.69,2642.85,3049.11,2602.57,3671.28,2218.58,3157.36,1902.72,2626.29,2805.82,2318.5,3096.73,1464.42,2372.62
1980,993877.31,696783.52,229763.05,138058.71,117827.36,147490.37,78300.65,121159.76,56265.48,107702.68,56419.28,54070.82,81470.86,73460.72,78068.14,49968.81,69360.87,37796.8,54372.51,35535.11,43975.92,47385.32,44099.14,38050.42,47396.97,35264.9,38668.22,28105.89,33369.71,29772.04,22611.97,33687.79,24537.42,29760.47,23005.07,27737.9,26357.46,17795.73,17472.14,14148.42,10754.77,20019.85,19337.72,10349.27,9869,14902.16,9804.85,14649.11,15035.86,17359.12,17717.37,18683.16,13248.37,9634.5,9633.89,8878.78,8316.34,7609.75,8908.29,14905.89,15939.74,11266.23,13798.13,11848.33,16268.99,9835.18,13653.36,14507.47,15343.92,12549.54,10802.03,7090.13,6303.61,8929.9,6692.11,8120.5,8618.35,6822.84,5123.95,8716.55,4788.24,4598.13,6368.17,7976.45,5017.82,4996.73,8930.77,4086.08,5688.84,7283.46,9740.6,4511.9,5589.58,6163.08,6150.74,3434.95,7164.17,4179.86,8293.68,5988.9,4705.22,3430.76,5592.65,4512.04,5809.27,4009.84,5889.23,4116.82,6359.13,2915.78,3717.17,5140.72,4580.7,3187.67,4431.11,4915.47,3365.44,3146.62,2521.39,3610.98,3258.14,3304.47,3678.29,3905.41,3180.63,1835.84,2163.05,2720.84,3099.75,2605.29,3744.67,2279.82,3249.91,1924.2,2681.24,2876.81,2385.54,3219.47,1474.44,2411.7
1981,1008000.15,713118.03,231938.96,139002.31,118743.18,150978.84,78126.1,124030.91,56276.32,110752.91,56576.5,54298.05,83721.27,75482.55,80696.95,50179.03,70992.2,38071.26,55627.75,35873.73,44988.36,48337.5,45216.51,38606.82,48715.59,36120.29,40217.63,28543.36,34139.13,30198.59,22739.82,34570.58,24791.14,30532.95,23351.57,28375.99,27039.47,18003.32,17731.23,14223.76,10746.96,20511.6,19943.66,10365.72,9880.59,15249.01,9875.26,14838.49,15273.39,17792.55,18009.44,19277.11,13053.95,9727.72,9700.25,8905.07,8325.49,7604.51,8984.59,15072.36,16363.56,11439.14,14133.84,12133.07,16901.68,9884.21,14046.54,15027.27,15761.8,12930.21,11117.61,7234.3,6315.88,9244.51,6748.19,8434.02,8883.02,6985.16,5125.3,8971.35,4809.81,4621.42,6545.02,8183.19,5051.23,5037.34,9252.85,4098.97,5818.67,7466.49,10366.66,4589.78,5711.6,6327.57,6249.32,3472.89,7431.94,4222.51,8664.06,6164.01,4853.93,3456.14,5750.34,4610.17,5943.59,4048.62,6094.21,4223.2,6604.87,2935.04,3820.13,5315.03,4655.36,3230.47,4553.9,5020.49,3445.28,3164.83,2531.01,3682.67,3323.38,3398.47,3792.94,4020.78,3271.46,1857.85,2197.58,2812.04,3148.09,2615.75,3815.23,2346.8,3342.67,1941.53,2735.33,2947.78,2454.77,3347.78,1483.87,2460.39
1982,1022253.4,729868.01,234132.63,139964.75,119615.62,154506.27,77944.85,126947.37,56296.24,113916.81,56717.08,54547.69,86007.33,77472.91,83445.86,50379.38,72602.53,38309.71,56931.82,36216.71,46025.36,49267.56,46379.62,39179.55,50068.49,37136.85,41883.33,28993.99,34917.9,30628.34,22842.32,35479.1,25040.95,31330.26,23722.34,29027.16,27717.34,18229.6,18008.56,14295.22,10716.32,21016.82,20575.7,10365.45,9889.82,15607.24,9925.73,15041.07,15502.52,18225.73,18299.16,19891.55,12749.65,9804.17,9767.26,8930.67,8329.43,7602.18,9057.98,15244.05,16790.07,11615.84,14470.63,12409.24,17559.43,9925.62,14438.31,15562.19,16185.89,13323.33,11488.11,7387.66,6341.55,9582.16,6918.1,8764.62,9158.57,7158.26,5123.35,9234.13,4835.1,4645.41,6733.96,8392.94,5085.51,5073.89,9590.23,4111.66,5955.27,7654.82,11048.08,4690.61,5835.18,6484.45,6349.56,3505.36,7721.54,4265.31,9044.47,6344.38,5011.73,3481.13,5920.06,4715.2,6078.82,4089.86,6305.71,4333.39,6716.45,2954.28,3927.71,5489.32,4725.72,3269.25,4680.89,5107.91,3525.4,3188.54,2540.44,3757.18,3401.24,3495.2,3910.66,4140.26,3366.72,1880.7,2235.33,2915.07,3193.69,2632.28,3883.47,2418.84,3435.53,1955.24,2788.31,3019.07,2525.52,3480.45,1492.64,2517.58
1983,1037123.83,746949.07,236344,140946.86,120438.09,158044.34,77790.08,129882.32,56330.88,117177.06,56838.68,54817.83,88338.24,79462.28,86297.64,50570.03,74196.55,38514.06,58277.39,36550.85,47073.42,50186.2,47594.56,39752.02,51455.03,38285.88,43645.09,29454.74,35697.94,31062.43,22928.93,36403.09,25296.84,32139.71,24113.31,29687.09,28404.88,18473.09,18298.21,14365.39,10669.69,21528.5,21228.29,10354.31,9897.88,15974.42,9958.42,15257.36,15726.8,18660.44,18584.31,20524.67,12389.27,9867.16,9834.42,8953.07,8332.44,7603.1,9127.68,15421.23,17221.21,11797.53,14818.62,12657.71,18239.4,9966.73,14825.79,16107.73,16617.35,13735.27,11895.13,7543.74,6377.1,9931.56,7168.24,9111.1,9445,7340.91,5119.61,9504.28,4862.18,4669.61,6930.39,8606.21,5122.38,5106.99,9938.85,4124.59,6096.69,7847.47,11763.84,4810.5,5959.96,6661.36,6452.08,3531.78,8027.57,4308.11,9432.73,6529.89,5170.56,3506.54,6100.5,4829.09,6214.86,4132.45,6521.54,4448.73,6740.22,2973.46,4039.95,5673.61,4792.9,3304.68,4809.9,5183.91,3608.75,3215.73,2550.93,3834.17,3489.98,3594,4031.35,4265.25,3465.79,1903.55,2273.67,3026.24,3238.59,2651.29,3950.12,2493.14,3527.94,1965.9,2842.62,3091.51,2598.41,3614.69,1501.42,2580.26
1984,1053210.74,764245.2,238573.86,141950.63,121199.8,161555.58,77704.34,132800.68,56386.23,120510.4,56937.7,55102.74,90732.36,81497.74,89228.95,50750.93,75780.61,38688.12,59653.09,36858.9,48114.11,51108.08,48868.95,40300.4,52873.97,39518.8,45474.71,29920.9,36468.89,31502.16,23013.16,37328.2,25571.67,32943.58,24517.51,30350.09,29121.47,18730.25,18590.14,14437.51,10617.23,22037.61,21893.85,10340.85,9906.37,16347.24,9977.17,15487.21,15951.42,19099.58,18862.03,21173.6,12047.12,9922.43,9901.05,8968.86,8340.44,7607.29,9192.92,15603.72,17659.98,11985.66,15191.63,12853.78,18937.74,10017.06,15205.5,16658.05,17057.79,14174.47,12311.16,7693.67,6416.71,10277.32,7446.02,9472.17,9742.26,7531.24,5116.06,9780.87,4888.2,4693.43,7127.94,8823.75,5164.14,5137.69,10293.05,4138.27,6240.33,8042.9,12484.97,4943.14,6085.5,6895.93,6557.59,3551.65,8342.2,4350.75,9826.06,6720.34,5319.61,3533.48,6289.33,4954.05,6351.57,4174.62,6738.77,4571.29,6747.93,2992.65,4156.82,5881.91,4858.53,3337.86,4937.98,5258.16,3699.47,3243.04,2564.11,3913.06,3586.38,3694.04,4154.89,4397.53,3567.75,1925.31,2308.95,3140.24,3285.6,2667.22,4016.13,2565.8,3619.25,1974.42,2901.59,3166.22,2674.29,3746.72,1511.2,2643.95
1985,1070863.39,781666.67,240824.12,142971.17,121894.04,165012.2,77717.43,135676.28,56466.13,123896.53,57012.35,55397.48,93199.87,83613.3,92219.49,50920.78,77360.71,38835.88,61049.37,37128.72,49133.88,52041.47,50204.99,40808.57,54323.65,40800.34,47342.7,30388.78,37222.3,31948.03,23103.65,38244.84,25873.95,33730.15,24929.4,31011.69,29883.45,18997.88,18877.24,14513.95,10566.82,22537.38,22565.91,10331.37,9916.58,16723.96,9985.58,15729.64,16179.8,19544.96,19130.09,21837,11783.05,9974.74,9966.15,8975.29,8357.65,7614.87,9253.41,15789.44,18108.3,12181.03,15598.94,12984.41,19651.23,10082.99,15576.4,17210.19,17508.06,14646.62,12716.23,7831.89,6456.22,10609.04,7712.98,9847.9,10050.02,7727.91,5114.24,10063.5,4911.22,4716.12,7321.88,9045.98,5211.44,5166.8,10648.63,4153.11,6384.2,8240.06,13189.12,5084.77,6211.55,7211.11,6666.46,3564.96,8658.86,4392.13,10222.56,6915.93,5450.42,3562.4,6484.74,5091.54,6488.86,4214.92,6955.21,4702.07,6791.72,3011.91,4278.5,6120.11,4923.86,3369.68,5063.19,5337.62,3799.55,3268.24,2580.75,3993.11,3687.9,3794.72,4281.19,4537.79,3671.83,1945.14,2338.64,3252.99,3335.94,2676.58,4082.79,2634.23,3709.09,1981.53,2966.8,3244.02,2753.15,3873.78,1522.4,2705.54
1986,1090348.06,799181.44,243098.94,144011.51,122519.65,168402.03,77837.5,138499.46,56574.28,127323.03,57061.78,55704.49,95742.43,85818.5,95264.46,51078.79,78934.13,38958.07,62459.56,37354.27,50128.49,52996.47,51607.7,41269.32,55804.07,42120.73,49256.84,30857.24,37957.33,32400.72,23205.29,39144.93,26208.08,34490.42,25348.4,31669.78,30685.82,19276.47,19156.8,14595.76,10519.79,23023.94,23241.27,10327.53,9928.54,17101.14,9983.22,15986.16,16412.71,19996.25,19387.42,22511.24,11601.04,10023.37,10030.07,8972.47,8384.99,7625.39,9306.35,15980.99,18565.48,12384.11,16045.05,13034.39,20378.63,10168.09,15936.38,17757.17,17968.55,15154.52,13104.3,7955.16,6494.09,10921.04,7958.98,10232.73,10368.3,7930.69,5114.66,10352.12,4930.34,4737.95,7509.76,9272.91,5266.83,5194.31,11004.27,4169.32,6527.54,8438.6,13869.01,5229.8,6337.89,7625.31,6778.63,3571.35,8976.21,4435.5,10620.27,7116.74,5565.55,3594.06,6686.16,5243.01,6626.54,4253.17,7170.66,4841.57,6887.37,3031.04,4404.51,6407.67,4988.94,3400.02,5184.59,5424.52,3912.44,3290.3,2602.15,4075.19,3794.04,3895.85,4410.16,4687.28,3777.76,1962.88,2361.72,3364.02,3392.26,2677.28,4148.95,2696.98,3796.92,1987.54,3041.01,3324.46,2837.11,3994.59,1536.03,2763.59
1987,1111341.73,816792.74,245402.86,145051.66,123083.21,171728.92,78054.09,141273.49,56709.21,130781.87,57089.45,56024.51,98343.81,88101.63,98357.47,51221.15,80503.05,39057.21,63881.3,37538.98,51100.88,53964.41,53066.23,41690.83,57313.31,43493.28,51197.48,31326.47,38673.24,32859.37,23312.07,40032.72,26569.77,35230.25,25775.16,32324.33,31529.82,19565.68,19431.99,14682.65,10475.04,23497.77,23917.9,10327.73,9942.29,17480.92,9971.23,16254.94,16647.95,20451.71,19634.01,23198.53,11502.76,10068.28,10091.63,8960.47,8421.06,7639.35,9352.15,16173.1,19029.88,12594.15,16525.11,13020.86,21119.32,10269.57,16290.15,18302.59,18437.79,15695.41,13481.41,8067.76,6531.89,11218.27,8196.04,10628.59,10696.27,8140.07,5117.28,10647.75,4946.37,4758.15,7692.25,9504.13,5327.23,5219.96,11360.85,4186.97,6670.57,8639.11,14525.66,5381.48,6464.73,8120.09,6893.5,3571.76,9293.28,4478.52,11019.65,7323.97,5666.08,3627.33,6893.9,5408.09,6764.62,4289.1,7385.69,4987.74,7018.11,3049.97,4535.26,6732.13,5053.71,3428.83,5303.2,5516.36,4034.67,3310.74,2626.9,4158.61,3905.16,3997.7,4541.8,4843.95,3885.44,1978.52,2379.28,3474.08,3451.94,2672.17,4216.18,2755.24,3882.94,1992.27,3121.34,3407.32,2924.35,4109.7,1551.21,2819.6
